gene	MP41.D28A	MP41.D28B	MP41.D28C	MP41.D32A	MP41.D32B	MP41.D32C
ABCA3	0.594481917494786	0.279905113689928	0.540734548333653	0.737379347649712	0.300379635594025	0.450977683706884
ABCB1	0.781348861622557	0.521157344308897	0.593573155004431	0.790198728206127	0.67481456423979	0.661977524558697
ABCC3	0.291607062465268	0.0560315764492606	0.00119978299651631	0.22325613538081	-0.0370221736744546	-0.186347555435801
ABCG2	0.75418019988798	0.525137281174896	0.448843968267804	0.800196221518182	0.720750321326953	0.552224751973697
ABL1	0.783068679748848	0.65582244919182	0.563957110096817	0.801559056084016	0.881866909575275	0.746739751817357
ABL2	-0.0816573235725633	0.222070792615896	0.18680764963364	-0.0665641375207178	0.138722871350203	-0.0594373558827303
ABT1	-0.760017452040786	-0.77163225404878	-0.613082248936503	-0.689165337898139	-0.611755034744291	-0.871206760994381
ABTB2	0.526384224728145	0.367507771715402	0.585646535031362	0.506140372192416	0.611417550744902	0.638664422358315
ACACA	-0.224489039645899	-0.215520154627038	-0.13732901464545	-0.752846252860898	-0.160753241713786	-0.572046847773368
ACACB	0.550770555552159	0.529673174655402	0.4416826637675	0.54948952565977	0.657965594383513	0.488659573343388
ACTL6A	-0.41747930406038	-0.737705528131598	-0.861864703481056	-0.64564588194453	-0.777295881559162	-1.20217834829881
ACTL6B	0.268418261430955	0.024536715827378	0.30392326032004	0.345293092761967	0.148940925448046	0.384826351803863
ACTL7A	0.349422947855586	0.185811867625518	0.887533440807423	0.503638187158966	0.251184471217426	0.939170708912818
ADAM19	0.823853960154899	0.353645784517721	0.363221505353402	0.970542176393386	0.431783208975949	0.417095429377326
ADAP1	0.273545481538561	0.240910501668457	0.512508475131541	0.02699379800431	-0.024319293499001	0.542379869319144
ADAP2	0.107388877538048	0.0724682866149267	0.327529083880647	0.266135694912971	0.299353930020268	0.178408952165337
ADARB1	0.62640846888016	0.588893200312559	0.840678543601335	0.656157290720246	0.67423751391886	1.00272070845763
ADARB2	0.454325578203142	0.142866519244341	0.672587933525418	0.483737396453184	0.173251598023493	0.310141858877735
ADGRG7	0.211468157059444	-0.0228863174431339	0.202322064056956	0.1692496804663	-0.0369625068248332	0.368910381562872
ADM	0.406562389206716	0.433626379165427	0.242185392541747	0.230679736738487	0.241337468516894	0.248561823701765
ADSS	1.01057075149077	0.750249787181189	0.483326906216948	0.781522838153024	0.922878390883992	0.578269224848168
