stripped_cell_line_name	sanger_sample_id	sanger_sample_name	sample_label	stripped_sample_label	replicate_letter	replicate	qc_group	time_point_days	cell_line_label	cell_line_name	batch	batch_control	cancer_type	CCLE_Name	DepMap_ID	COSMICID	RRID	cell_line_name_depmap
921	5429STDY10316146	921_D42A	921 D42A	921.D42A	A	R1	921 D42	42	921	921	B	NA	Uveal melanoma	921_UVEA	ACH-001441	NA	CVCL_8607	92-1
921	5429STDY10316145	921_D28C	921 D28C	921.D28C	C	R3	921 D28	28	921	921	B	NA	Uveal melanoma	921_UVEA	ACH-001441	NA	CVCL_8607	92-1
921	5429STDY10316148	921_D42C	921 D42C	921.D42C	C	R3	921 D42	42	921	921	B	NA	Uveal melanoma	921_UVEA	ACH-001441	NA	CVCL_8607	92-1
921	5429STDY10316147	921_D42B	921 D42B	921.D42B	B	R2	921 D42	42	921	921	B	NA	Uveal melanoma	921_UVEA	ACH-001441	NA	CVCL_8607	92-1
921	5429STDY10316143	921_D28A	921 D28A	921.D28A	A	R1	921 D28	28	921	921	B	NA	Uveal melanoma	921_UVEA	ACH-001441	NA	CVCL_8607	92-1
921	5429STDY10316144	921_D28B	921 D28B	921.D28B	B	R2	921 D28	28	921	921	B	NA	Uveal melanoma	921_UVEA	ACH-001441	NA	CVCL_8607	92-1
MP38	5429STDY10316152	MP38_D65A	MP38 D65A	MP38.D65A	A	R1	MP38 D65	65	MP38	MP38	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
MP38	5429STDY10316153	MP38_D65B	MP38 D65B	MP38.D65B	B	R2	MP38 D65	65	MP38	MP38	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
MP38	5429STDY10316154	MP38_D65C	MP38 D65C	MP38.D65C	C	R3	MP38 D65	65	MP38	MP38	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
MP38	5429STDY10316149	MP38_D28A	MP38 D28A	MP38.D28A	A	R1	MP38 D28	28	MP38	MP38	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
MP38	5429STDY10316150	MP38_D28B	MP38 D28B	MP38.D28B	B	R2	MP38 D28	28	MP38	MP38	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
MP38	5429STDY10316151	MP38_D28C	MP38 D28C	MP38.D28C	C	R3	MP38 D28	28	MP38	MP38	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
MP41	5429STDY10316155	MP41_D28A	MP41 D28A	MP41.D28A	A	R1	MP41 D28	28	MP41	MP41	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
MP41	5429STDY10316156	MP41_D28B	MP41 D28B	MP41.D28B	B	R2	MP41 D28	28	MP41	MP41	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
MP41	5429STDY10316159	MP41_D32B	MP41 D32B	MP41.D32B	B	R2	MP41 D32	32	MP41	MP41	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
MP41	5429STDY10316160	MP41_D32C	MP41 D32C	MP41.D32C	C	R3	MP41 D32	32	MP41	MP41	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
MP41	5429STDY10316158	MP41_D32A	MP41 D32A	MP41.D32A	A	R1	MP41 D32	32	MP41	MP41	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
