"geneSymbol","modelName","tissue","cancerType","fc_clean","bf_scaled","modelId","geneId","isPanCancer","source"
"PSMA6","Mel-285","Eye","Melanoma","-3.9418","-27.77","SIDM01793","SIDG26063","true","Broad"
"CDC27","Mel-285","Eye","Melanoma","-3.83206","-25.251","SIDM01793","SIDG04048","true","Broad"
"RPL8","Mel-285","Eye","Melanoma","-3.648","-24.502","SIDM01793","SIDG31548","true","Broad"
"RRM1","Mel-285","Eye","Melanoma","-3.54281","-22.852","SIDM01793","SIDG33413","true","Broad"
"SNRPF","Mel-285","Eye","Melanoma","-3.50683","-22.204","SIDM01793","SIDG35917","true","Broad"
"RPS20","Mel-285","Eye","Melanoma","-3.46914","-23.996","SIDM01793","SIDG33078","true","Broad"
"ATP6V1B2","Mel-285","Eye","Melanoma","-3.34357","-21.154","SIDM01793","SIDG01879","true","Broad"
"PSMC6","Mel-285","Eye","Melanoma","-3.34104","-21.816","SIDM01793","SIDG26106","true","Broad"
"RPL11","Mel-285","Eye","Melanoma","-3.32371","-21.007","SIDM01793","SIDG31622","true","Broad"
"SNRPE","Mel-285","Eye","Melanoma","-3.24913","-22.239","SIDM01793","SIDG35906","true","Broad"
"WEE1","Mel-285","Eye","Melanoma","-3.22929","-20.002","SIDM01793","SIDG41107","true","Broad"
"RPS28","Mel-285","Eye","Melanoma","-3.20994","-20.022","SIDM01793","SIDG33275","true","Broad"
"PSMD6","Mel-285","Eye","Melanoma","-3.19183","-19.729","SIDM01793","SIDG26117","true","Broad"
"RAN","Mel-285","Eye","Melanoma","-3.18541","-19.842","SIDM01793","SIDG26661","true","Broad"
"VCP","Mel-285","Eye","Melanoma","-3.15384","-19.958","SIDM01793","SIDG40650","true","Broad"
"PSMB3","Mel-285","Eye","Melanoma","-3.09305","-18.733","SIDM01793","SIDG26073","true","Broad"
"KIF11","Mel-285","Eye","Melanoma","-3.04501","-19.569","SIDM01793","SIDG13741","true","Broad"
"GRB2","Mel-285","Eye","Melanoma","-3.03259","-18.3","SIDM01793","SIDG10635","","Broad"
"EIF1AX","Mel-285","Eye","Melanoma","-3.03019","-18.847","SIDM01793","SIDG07496","true","Broad"
"RPL32","Mel-285","Eye","Melanoma","-2.98278","-19.096","SIDM01793","SIDG32310","true","Broad"
"NSF","Mel-285","Eye","Melanoma","-2.9712","-18.413","SIDM01793","SIDG22323","true","Broad"
"GTF2B","Mel-285","Eye","Melanoma","-2.94326","-19.104","SIDM01793","SIDG10778","true","Broad"
"SNRPA1","Mel-285","Eye","Melanoma","-2.94107","-18.779","SIDM01793","SIDG35875","true","Broad"
"RPS5","Mel-285","Eye","Melanoma","-2.93746","-18.02","SIDM01793","SIDG32800","true","Broad"
"PRPF38A","Mel-285","Eye","Melanoma","-2.93443","-19.726","SIDM01793","SIDG25873","true","Broad"
